Year,m,d,Time,Time zone,Wind speed (m/s)
2018,3,20,00:00,UTC,1.1
2018,3,20,00:10,UTC,1.3
2018,3,20,00:20,UTC,1.6
2018,3,20,00:30,UTC,2.3
2018,3,20,00:40,UTC,2
2018,3,20,00:50,UTC,1.8
2018,3,20,01:00,UTC,2.4
2018,3,20,01:10,UTC,2.4
2018,3,20,01:20,UTC,1.9
2018,3,20,01:30,UTC,0.8
2018,3,20,01:40,UTC,0.6
2018,3,20,01:50,UTC,0.9
2018,3,20,02:00,UTC,1
2018,3,20,02:10,UTC,0.6
2018,3,20,02:20,UTC,0.9
2018,3,20,02:30,UTC,0.7
2018,3,20,02:40,UTC,1.3
2018,3,20,02:50,UTC,0.7
2018,3,20,03:00,UTC,0
2018,3,20,03:10,UTC,0
2018,3,20,03:20,UTC,0.6
2018,3,20,03:30,UTC,0
2018,3,20,03:40,UTC,0
2018,3,20,03:50,UTC,0.6
2018,3,20,04:00,UTC,0
2018,3,20,04:10,UTC,0
2018,3,20,04:20,UTC,0
2018,3,20,04:30,UTC,1.1
2018,3,20,04:40,UTC,0
2018,3,20,04:50,UTC,0
2018,3,20,05:00,UTC,0
2018,3,20,05:10,UTC,0.6
2018,3,20,05:20,UTC,0.8
2018,3,20,05:30,UTC,0.8
2018,3,20,05:40,UTC,
2018,3,20,05:50,UTC,1.5
2018,3,20,06:00,UTC,0.7
2018,3,20,06:10,UTC,0.8
2018,3,20,06:20,UTC,1
2018,3,20,06:30,UTC,1
2018,3,20,06:40,UTC,0.5
2018,3,20,06:50,UTC,0.7
2018,3,20,07:00,UTC,0.5
2018,3,20,07:10,UTC,
2018,3,20,07:20,UTC,0
2018,3,20,07:30,UTC,0.8
2018,3,20,07:40,UTC,0.6
2018,3,20,07:50,UTC,0.7
2018,3,20,08:00,UTC,0.6
2018,3,20,08:10,UTC,0.8
2018,3,20,08:20,UTC,1.2
2018,3,20,08:30,UTC,1.9
2018,3,20,08:40,UTC,2
2018,3,20,08:50,UTC,1.2
2018,3,20,09:00,UTC,1
2018,3,20,09:10,UTC,1.3
2018,3,20,09:20,UTC,1.2
2018,3,20,09:30,UTC,1.4
2018,3,20,09:40,UTC,1
2018,3,20,09:50,UTC,1.5
2018,3,20,10:00,UTC,1.6
2018,3,20,10:10,UTC,2
2018,3,20,10:20,UTC,2.3
2018,3,20,10:30,UTC,2.3
2018,3,20,10:40,UTC,1.8
2018,3,20,10:50,UTC,2.2
2018,3,20,11:00,UTC,2.6
2018,3,20,11:10,UTC,3
2018,3,20,11:20,UTC,3.8
2018,3,20,11:30,UTC,4.3
2018,3,20,11:40,UTC,4.4
2018,3,20,11:50,UTC,4.1
2018,3,20,12:00,UTC,3.9
2018,3,20,12:10,UTC,4.7
2018,3,20,12:20,UTC,4.6
2018,3,20,12:30,UTC,4.7
2018,3,20,12:40,UTC,5.3
2018,3,20,12:50,UTC,5.3
2018,3,20,13:00,UTC,4.6
2018,3,20,13:10,UTC,5.5
2018,3,20,13:20,UTC,5.7
2018,3,20,13:30,UTC,5.5
2018,3,20,13:40,UTC,6.3
2018,3,20,13:50,UTC,6
2018,3,20,14:00,UTC,6.4
2018,3,20,14:10,UTC,6.2
2018,3,20,14:20,UTC,6.2
2018,3,20,14:30,UTC,5.2
2018,3,20,14:40,UTC,5.2
2018,3,20,14:50,UTC,4.4
2018,3,20,15:00,UTC,4.2
2018,3,20,15:10,UTC,5.4
2018,3,20,15:20,UTC,
2018,3,20,15:30,UTC,4.5
2018,3,20,15:40,UTC,5.1
2018,3,20,15:50,UTC,5.2
2018,3,20,16:00,UTC,5.3
2018,3,20,16:10,UTC,5.4
2018,3,20,16:20,UTC,5.8
2018,3,20,16:30,UTC,5.9
2018,3,20,16:40,UTC,4.3
2018,3,20,16:50,UTC,4.7
2018,3,20,17:00,UTC,4.4
2018,3,20,17:10,UTC,5
2018,3,20,17:20,UTC,5.5
2018,3,20,17:30,UTC,5.2
2018,3,20,17:40,UTC,5.2
2018,3,20,17:50,UTC,5
2018,3,20,18:00,UTC,4.4
2018,3,20,18:10,UTC,4.8
2018,3,20,18:20,UTC,4.3
2018,3,20,18:30,UTC,4.6
2018,3,20,18:40,UTC,3.6
2018,3,20,18:50,UTC,3.9
2018,3,20,19:00,UTC,4.5
2018,3,20,19:10,UTC,5.4
2018,3,20,19:20,UTC,5.6
2018,3,20,19:30,UTC,4.4
2018,3,20,19:40,UTC,3.9
2018,3,20,19:50,UTC,3.4
2018,3,20,20:00,UTC,3.1
2018,3,20,20:10,UTC,3.4
2018,3,20,20:20,UTC,4
2018,3,20,20:30,UTC,3.7
2018,3,20,20:40,UTC,3.9
2018,3,20,20:50,UTC,3.7
2018,3,20,21:00,UTC,3.6
2018,3,20,21:10,UTC,3
2018,3,20,21:20,UTC,3.4
2018,3,20,21:30,UTC,4.3
2018,3,20,21:40,UTC,3.7
2018,3,20,21:50,UTC,2.8
2018,3,20,22:00,UTC,2.8
2018,3,20,22:10,UTC,2.7
2018,3,20,22:20,UTC,2.8
2018,3,20,22:30,UTC,2.4
2018,3,20,22:40,UTC,2.6
2018,3,20,22:50,UTC,3
2018,3,20,23:00,UTC,2.6
2018,3,20,23:10,UTC,2.5
2018,3,20,23:20,UTC,2.7
2018,3,20,23:30,UTC,2.8
2018,3,20,23:40,UTC,3
2018,3,20,23:50,UTC,2.8
2018,3,21,00:00,UTC,3
